run,scheme,key_id,length,n,exceed,fpr,ci_lo,ci_hi,mean_z,sd_z
smollm2_n10000,synthid,synthid-05,128,10000,93,0.0093,0.007512675855812098,0.011381186049757056,-0.01122637611978523,0.9955558530103801
smollm2_n10000,synthid,synthid-05,256,10000,97,0.0097,0.007872887278792737,0.011820535476867015,-0.01726321077442291,0.9905841559684425
smollm2_n10000,synthid,synthid-05,512,10000,83,0.0083,0.006616170412782051,0.010278851963669339,-0.023780510482512052,0.9840873850111319
smollm2_n10000,synthid,synthid-06,128,10000,75,0.0075,0.005903663282242353,0.009392366965358603,-0.015539020540204796,0.9845919879285768
smollm2_n10000,synthid,synthid-06,256,10000,75,0.0075,0.005903663282242353,0.009392366965358603,-0.017401955004653472,0.9816411464368286
smollm2_n10000,synthid,synthid-06,512,10000,74,0.0074,0.005814929234590259,0.009281232996209745,-0.007243819182640313,0.9836046047799385
smollm2_n10000,synthid,synthid-07,128,10000,74,0.0074,0.005814929234590259,0.009281232996209745,-0.033649936148177594,0.9802176896454661
smollm2_n10000,synthid,synthid-07,256,10000,87,0.0087,0.006974044209976635,0.010720502239294131,-0.029287761155739726,0.9810676593589083
smollm2_n10000,synthid,synthid-07,512,10000,86,0.0086,0.006884481059514031,0.010610182806281643,-0.02988414804858423,0.9799965285728474
smollm2_n10000,synthid,synthid-08,128,10000,100,0.01,0.008143596567611065,0.012149504886061608,-0.016079930446553634,1.0027949652522616
smollm2_n10000,synthid,synthid-08,256,10000,106,0.0106,0.008686342174122614,0.012806135286500818,-0.021475172684413277,1.0110631353038029
smollm2_n10000,synthid,synthid-08,512,10000,99,0.0099,0.00805330927892533,0.01203989854613168,-0.03929794362747457,1.0148276863563288
smollm2_n10000,synthid,synthid-09,128,10000,88,0.0088,0.007063668692759799,0.01083076133457935,-0.009142106641212943,0.9853282613983084
smollm2_n10000,synthid,synthid-09,256,10000,99,0.0099,0.00805330927892533,0.01203989854613168,-0.0011956272451100701,0.9798320801038539
smollm2_n10000,synthid,synthid-09,512,10000,97,0.0097,0.007872887278792737,0.011820535476867015,0.011932273582820027,0.9843894076224463
smollm2_pilot_n500,kgw,kgw-00,128,500,29,0.058,0.03918386879718779,0.08223822089383528,0.28721988059785253,1.2273067002958304
smollm2_pilot_n500,kgw,kgw-00,256,500,41,0.082,0.05948546373558825,0.10959894311096288,0.4546330084000909,1.2988220752168613
smollm2_pilot_n500,kgw,kgw-00,512,500,57,0.114,0.0874949028799697,0.14516846659896135,0.5932627549534489,1.4244355061497493
smollm2_pilot_n500,kgw,kgw-01,128,500,7,0.014,0.005646761070324432,0.028631616183336053,-0.5762318961649076,1.1559864183151214
smollm2_pilot_n500,kgw,kgw-01,256,500,5,0.01,0.0032547214070242523,0.02318138806965964,-0.7534561155111673,1.219473676912812
smollm2_pilot_n500,kgw,kgw-01,512,500,5,0.01,0.0032547214070242523,0.02318138806965964,-0.9873905886831282,1.2995067407787897
smollm2_pilot_n500,kgw,kgw-02,128,500,12,0.024,0.012461239059555672,0.04154761879968625,-0.421727579463749,1.170458250015051
smollm2_pilot_n500,kgw,kgw-02,256,500,6,0.012,0.004416172285801645,0.025934927265336975,-0.6553725825603836,1.2462555081601263
smollm2_pilot_n500,kgw,kgw-02,512,500,10,0.02,0.009631429586433347,0.03647240829220973,-0.9195375852396539,1.394212072249348
smollm2_pilot_n500,kgw,kgw-03,128,500,0,0.0,0.0,0.007350610051907784,-1.0363202633552606,1.0748793140000443
smollm2_pilot_n500,kgw,kgw-03,256,500,0,0.0,0.0,0.007350610051907784,-1.4610736671334128,1.13332673652606
smollm2_pilot_n500,kgw,kgw-03,512,500,1,0.002,5.063433400741526e-05,0.011092476898968787,-1.9780775296241062,1.2714628811156852
smollm2_pilot_n500,kgw,kgw-04,128,500,4,0.008,0.0021839081083421846,0.020355632593743928,-0.7262200858107483,1.131573587248108
smollm2_pilot_n500,kgw,kgw-04,256,500,8,0.016,0.0069323212024836,0.03128200168985308,-1.0771911497683613,1.2464321630565274
smollm2_pilot_n500,kgw,kgw-04,512,500,6,0.012,0.004416172285801645,0.025934927265336975,-1.3982486979302056,1.4023012452130865
smollm2_pilot_n500,kgw,kgw-05,128,500,29,0.058,0.03918386879718779,0.08223822089383528,0.3176768130488082,1.233508312483171
smollm2_pilot_n500,kgw,kgw-05,256,500,39,0.078,0.05605117377556034,0.10508772643006573,0.3674463968679205,1.301833121218042
smollm2_pilot_n500,kgw,kgw-05,512,500,40,0.08,0.057766119928834334,0.10734546435635238,0.43224843856701717,1.4312329209369354
smollm2_pilot_n500,kgw,kgw-06,128,500,13,0.026,0.013914930062859742,0.044050436856873765,-0.14286828916794905,1.185362781800365
smollm2_pilot_n500,kgw,kgw-06,256,500,15,0.03,0.016885984203873244,0.04899822570881894,-0.12225671697397285,1.2536201573883383
smollm2_pilot_n500,kgw,kgw-06,512,500,20,0.04,0.0246013120855454,0.06110260938824469,-0.08345135903308201,1.341457689711939
smollm2_pilot_n500,kgw,kgw-07,128,500,86,0.172,0.13994294757041292,0.2079925119663506,1.234308297143906,1.232080168307392
smollm2_pilot_n500,kgw,kgw-07,256,500,156,0.312,0.2716051994310261,0.3546349268386832,1.7402561510295547,1.3244615871670717
smollm2_pilot_n500,kgw,kgw-07,512,500,235,0.47,0.42554247267474343,0.514814207739987,2.272836942576334,1.4981533526848643
smollm2_pilot_n500,kgw,kgw-08,128,500,31,0.062,0.04251106129638552,0.08685259747910139,0.5235139086549124,1.2112006602760497
smollm2_pilot_n500,kgw,kgw-08,256,500,46,0.092,0.06814330415665437,0.12080703261074256,0.6311545167862322,1.2983029378472297
smollm2_pilot_n500,kgw,kgw-08,512,500,59,0.118,0.09105167717278688,0.1495603963157274,0.7659818659093994,1.4634753764549493
smollm2_pilot_n500,kgw,kgw-09,128,500,36,0.072,0.05093433312513294,0.09828743733685696,0.5029581634090632,1.2533516466227124
smollm2_pilot_n500,kgw,kgw-09,256,500,52,0.104,0.07865193527463434,0.1341407484224808,0.6174046248664546,1.3242887469897902
smollm2_pilot_n500,kgw,kgw-09,512,500,71,0.142,0.11259730285774493,0.1757109949662546,0.9017040718091072,1.3986545425590424
qwen25_n104,kgw,kgw-00,128,104,5,0.04807692307692308,0.015792448153985277,0.10863596001490054,0.703642491671216,1.025125776834789
qwen25_n104,kgw,kgw-00,256,104,6,0.057692307692307696,0.021463878543519256,0.12134988653168398,0.7168405337581285,1.0930291354626098
qwen25_n104,kgw,kgw-00,512,104,11,0.10576923076923077,0.05399513796944672,0.18137316434116088,0.9192008230130571,1.1110380897226415
qwen25_n104,kgw,kgw-01,128,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,-0.22378817598024373,1.0810100774177482
qwen25_n104,kgw,kgw-01,256,104,0,0.0,0.0,0.034848306587674044,-0.2088882905624483,1.0106748936880088
qwen25_n104,kgw,kgw-01,512,104,5,0.04807692307692308,0.015792448153985277,0.10863596001490054,-0.19832294669902298,1.348586721218133
qwen25_n104,kgw,kgw-02,128,104,6,0.057692307692307696,0.021463878543519256,0.12134988653168398,0.2975424373092264,1.2086472924095397
qwen25_n104,kgw,kgw-02,256,104,6,0.057692307692307696,0.021463878543519256,0.12134988653168398,0.34792378738131285,1.2190521312166394
qwen25_n104,kgw,kgw-02,512,104,10,0.09615384615384616,0.047079433314401356,0.1697277990037507,0.519496668950192,1.3288514659538768
qwen25_n104,kgw,kgw-03,128,104,4,0.038461538461538464,0.010577266531079165,0.09555507539167203,0.32165936869952055,0.9817985069870419
qwen25_n104,kgw,kgw-03,256,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,0.1635279564173264,0.995735114581998
qwen25_n104,kgw,kgw-03,512,104,2,0.019230769230769232,0.0023374796086099896,0.06774489489176364,-0.038420379479937115,1.163950141870963
qwen25_n104,kgw,kgw-04,128,104,13,0.125,0.06826725994618639,0.20426531307332937,1.1376438249732843,1.166447219974663
qwen25_n104,kgw,kgw-04,256,104,26,0.25,0.1702614309778157,0.34447043465224414,1.4198584288334049,1.235730009194112
qwen25_n104,kgw,kgw-04,512,104,43,0.41346153846153844,0.31774575375060227,0.5142365870048873,2.0802869837642515,1.2131054950321072
qwen25_n104,kgw,kgw-05,128,104,16,0.15384615384615385,0.09057037799230513,0.23778146931222302,1.3216942486007808,1.1032368661024743
qwen25_n104,kgw,kgw-05,256,104,31,0.2980769230769231,0.2123303376289663,0.39568100462085176,1.6359998772761857,1.2549527457089253
qwen25_n104,kgw,kgw-05,512,104,43,0.41346153846153844,0.31774575375060227,0.5142365870048873,2.1460713389023613,1.4038991191559744
qwen25_n104,kgw,kgw-06,128,104,9,0.08653846153846154,0.04033701371357032,0.15792781935324873,0.6349918388796988,1.2575975880496204
qwen25_n104,kgw,kgw-06,256,104,11,0.10576923076923077,0.05399513796944672,0.18137316434116088,0.8654759440123919,1.2708591531097069
qwen25_n104,kgw,kgw-06,512,104,17,0.16346153846153846,0.09820368004912745,0.24876841864172805,1.0999074020902415,1.397675121915112
qwen25_n104,kgw,kgw-07,128,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,0.10538231736413528,1.0831348837028751
qwen25_n104,kgw,kgw-07,256,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,0.19702464266050937,1.0669444287691856
qwen25_n104,kgw,kgw-07,512,104,6,0.057692307692307696,0.021463878543519256,0.12134988653168398,0.2601162742347643,1.116862693008692
qwen25_n104,kgw,kgw-08,128,104,0,0.0,0.0,0.034848306587674044,-0.45221723472846403,1.0375798781003096
qwen25_n104,kgw,kgw-08,256,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,-0.4567215304765808,1.1443180327396107
qwen25_n104,kgw,kgw-08,512,104,1,0.009615384615384616,0.00024341083216264874,0.05241069970322814,-0.6897011498443256,1.2071004372960763
qwen25_n104,kgw,kgw-09,128,104,2,0.019230769230769232,0.0023374796086099896,0.06774489489176364,-0.3418756307211377,1.0370014203963769
qwen25_n104,kgw,kgw-09,256,104,2,0.019230769230769232,0.0023374796086099896,0.06774489489176364,-0.2737600036333905,1.1950939040899675
qwen25_n104,kgw,kgw-09,512,104,2,0.019230769230769232,0.0023374796086099896,0.06774489489176364,-0.32293762532827625,1.2722214159471716
